XGCSWGS84,YGCSWGS84,Cluster_DBSCAN,geometry
13.58844336,52.50499909,1,POINT (13.58844336 52.50499909)
13.41479204,52.55501687,1,POINT (13.41479204 52.55501687)
13.38677238,52.49811068,1,POINT (13.38677238 52.49811068)
13.28170499,52.52612342,1,POINT (13.28170499 52.52612342)
13.30303097,52.55086254,1,POINT (13.30303097 52.55086254)
13.28579349,52.5101782,1,POINT (13.28579349 52.5101782)
13.36488299,52.50214918,1,POINT (13.36488299 52.50214918)
13.54810984,52.55039326,1,POINT (13.54810984 52.55039326)
13.31637974,52.61400763,1,POINT (13.31637974 52.61400763)
13.36977355,52.54197121,1,POINT (13.36977355 52.54197121)
13.41631207,52.52203459,1,POINT (13.41631207 52.52203459)
13.45770576,52.4917118,1,POINT (13.45770576 52.4917118)
13.38774267,52.43877174,1,POINT (13.38774267 52.43877174)
13.3164906,52.61701006,1,POINT (13.3164906 52.61701006)
13.38927562,52.49744301,1,POINT (13.38927562 52.49744301)
13.36933255,52.54720878,1,POINT (13.36933255 52.54720878)
13.3881567,52.43748378,1,POINT (13.3881567 52.43748378)
13.32109267,52.45510977,1,POINT (13.32109267 52.45510977)
13.30165145,52.51135998,1,POINT (13.30165145 52.51135998)
13.28823391,52.51049464,1,POINT (13.28823391 52.51049464)
13.31347155,52.452823,1,POINT (13.31347155 52.452823)
13.54608973,52.50975393,1,POINT (13.54608973 52.50975393)
13.40333076,52.46356986,1,POINT (13.40333076 52.46356986)
13.29419188,52.51087095,1,POINT (13.29419188 52.51087095)
13.4035757,52.56925577,1,POINT (13.4035757 52.56925577)
13.45795202,52.49204246,1,POINT (13.45795202 52.49204246)
13.36030381,52.57133389,1,POINT (13.36030381 52.57133389)
13.28532361,52.50970604,1,POINT (13.28532361 52.50970604)
13.42674035,52.54324756,1,POINT (13.42674035 52.54324756)
13.47580433,52.51352369,1,POINT (13.47580433 52.51352369)
13.17512891,52.4199052,1,POINT (13.17512891 52.4199052)
13.39886777,52.57306373,1,POINT (13.39886777 52.57306373)
13.62051479,52.50434634,1,POINT (13.62051479 52.50434634)
13.20655057,52.51110438,1,POINT (13.20655057 52.51110438)
13.24215594,52.50752135,1,POINT (13.24215594 52.50752135)
13.6246477,52.50385131,1,POINT (13.6246477 52.50385131)
13.43901249,52.51724112,1,POINT (13.43901249 52.51724112)
13.31250623,52.62366461,1,POINT (13.31250623 52.62366461)
13.29121344,52.58662342,1,POINT (13.29121344 52.58662342)
13.51312024,52.45415033,1,POINT (13.51312024 52.45415033)
13.38720959,52.46958798,1,POINT (13.38720959 52.46958798)
13.30625578,52.4835488,1,POINT (13.30625578 52.4835488)
13.47512434,52.51358517,1,POINT (13.47512434 52.51358517)
13.55826051,52.56285932,1,POINT (13.55826051 52.56285932)
13.44089397,52.54310319,1,POINT (13.44089397 52.54310319)
13.35547877,52.51480183,1,POINT (13.35547877 52.51480183)
13.36471798,52.56213147,1,POINT (13.36471798 52.56213147)
13.45217787,52.51102373,1,POINT (13.45217787 52.51102373)
13.46387216,52.51487674,1,POINT (13.46387216 52.51487674)
13.362679,52.49936773,1,POINT (13.362679 52.49936773)
13.34139643,52.58617143,1,POINT (13.34139643 52.58617143)
13.39028367,52.61886661,1,POINT (13.39028367 52.61886661)
13.3981448,52.5711274,1,POINT (13.3981448 52.5711274)
13.41087344,52.51855315,1,POINT (13.41087344 52.51855315)
13.28127497,52.44132837,1,POINT (13.28127497 52.44132837)
13.4359657,52.62007128,1,POINT (13.4359657 52.62007128)
13.28370799,52.49660933,1,POINT (13.28370799 52.49660933)
13.36259379,52.49916094,1,POINT (13.36259379 52.49916094)
13.40153464,52.58053402,1,POINT (13.40153464 52.58053402)
13.38617619,52.48802256,1,POINT (13.38617619 52.48802256)
13.35544302,52.51490738,1,POINT (13.35544302 52.51490738)
13.43829546,52.51731418,1,POINT (13.43829546 52.51731418)
